id,korean,romanization,english,partOfSpeech,topikLevel,category,labels,lessons,sources,primarySource,sourceGroup,sourceType
kv0273,중요하다,jung-yo-ha-da,"to be important, weighty",adjective,1,descriptions-qualities,descriptions-qualities,,topik2-level4-vocab|test-intermediate-reading-3|topik-core,topik2-level4-vocab,topik-vocab,topik
kv0274,힘,him,power,noun,1,general-core,general-core,,topik-core,topik-core,topik-extra,topik
kv0275,나라,na-ra,a country,noun,1,general-core,general-core,,test-reading-skills-set|test-topik-ii-level-3-practice-2|topik-core,test-reading-skills-set,topik-test,topik
kv0276,부르다,bu-reu-da,to call,verb,1,communication-media,communication-media,,topik-core,topik-core,topik-extra,topik
kv0277,자리,ja-ri,seat / place,noun,1,animals-nature,animals-nature,,topik-core,topik-core,topik-extra,topik
kv0278,죽다,juk-da,"to die, pass away",verb,1,verbs-actions,verbs-actions,,topik-core,topik-core,topik-extra,topik
kv0279,얘기,yae-gi,story,noun,1,general-core,general-core,,topik-core,topik-core,topik-extra,topik
kv0280,엄마,eom-ma,mamma,noun,1,general-core,general-core,,topik-core,topik-core,topik-extra,topik
kv0281,내리다,nae-ri-da,to get off / descend,verb,1,time-calendar,time-calendar,,topik-core,topik-core,topik-extra,topik
kv0282,필요하다,pil-yo-ha-da,to need / be necessary,adjective,1,descriptions-qualities,descriptions-qualities,,topik2-level4-vocab|test-level-1-2-practice|test-level-2-mock|test-intermediate-advanced-2|test-intermediate-reading-3|test-intermediate-reading-1|topik-core,topik2-level4-vocab,topik-vocab,topik
kv0283,생기다,saeng-gi-da,"to arise, occur, happen",verb,1,verbs-actions,verbs-actions,,topik-core,topik-core,topik-extra,topik
kv0284,사용하다,sa-yong-ha-da,"to use, to use for a specific purpose",verb,1,verbs-actions,verbs-actions,,test-level-2-mock|test-intermediate-advanced-2|test-intermediate-reading-3|test-intermediate-reading-1|topik-core,test-level-2-mock,topik-test,topik
kv0285,남편,nam-pyeon,husband,noun,1,family-relationships,family-relationships,,topik-core,topik-core,topik-extra,topik
kv0286,들어오다,deul-eo-o-da,"to come into, to go into",verb,1,travel-movement,travel-movement,,topik-core,topik-core,topik-extra,topik
kv0287,대학,dae-hak,university,noun,1,general-core,general-core,,topik-core,topik-core,topik-extra,topik
kv0288,가운데,ga-un-de,in the middle,noun,1,general-core,general-core,,topik-core,topik-core,topik-extra,topik
kv0289,밤,bam,night,noun,1,time-calendar,time-calendar,,topik1-vocab|test-intermediate-1|test-level-2-mock|test-level-2-practice|test-reading-skills-set|topik-core,topik1-vocab,topik-vocab,topik
kv0290,먼저,meon-jeo,first,adverb,1,verbs-actions,verbs-actions,,test-level-2-practice|test-reading-skills-set|test-intermediate-reading-3|test-topik-ii-level-3-practice-2|topik-core,test-level-2-practice,topik-test,topik
kv0291,다니다,da-ni-da,to go to and from a aplace,verb,1,travel-movement,travel-movement,,topik-core,topik-core,topik-extra,topik
kv0292,묻다,mut-da,to ask / bury,verb,1,communication-media,communication-media,bab20,bab20|topik-core,bab20,bab,workbook+topik
kv0293,거기,geo-gi,there,pronoun,1,questions-pronouns,questions-pronouns,bab20,bab20|topik-core,bab20,bab,workbook+topik
kv0294,아들,a-deul,"son, baby",noun,1,general-core,general-core,bab20,topik1-vocab|bab20|topik-core,topik1-vocab,topik-vocab,workbook+topik
kv0295,곧,got,soon,adverb,1,verbs-actions,verbs-actions,,topik-core,topik-core,topik-extra,topik
kv0296,서로,seo-ro,"mutually, one another",adverb,1,verbs-actions,verbs-actions,,topik-core,topik-core,topik-extra,topik
kv0297,이거,i-geo,this thing,pronoun,1,questions-pronouns,questions-pronouns,,topik-core,topik-core,topik-extra,topik
kv0298,웃다,us-da,"to laugh, smile",verb,1,verbs-actions,verbs-actions,,test-reading-skills-set|test-topik-ii-level-3-practice-2|topik-core,test-reading-skills-set,topik-test,topik
kv0299,떠나다,ddeo-na-da,to be off,verb,1,descriptions-qualities,descriptions-qualities,,topik-core,topik-core,topik-extra,topik
kv0300,그래,geu-rae,yes or that's right,interjection,1,transport-directions,transport-directions|clothing-appearance,bab20,bab20|topik-core,bab20,bab,workbook+topik
kv0301,끝,ggeut,end,noun,1,time-calendar,time-calendar,,test-level-2-mock|topik-core,test-level-2-mock,topik-test,topik
kv0302,입,ip,mouth,noun,1,body-health,body-health,,topik-core,topik-core,topik-extra,topik
kv0303,필요,pil-yo,need / necessity,noun,1,general-core,general-core,,test-intermediate-reading-3|topik-core,test-intermediate-reading-3,topik-test,topik
kv0304,하늘,ha-neul,the sky,noun,1,general-core,general-core,,topik-core,topik-core,topik-extra,topik
kv0305,교수,gyo-su,professor,noun,1,people-occupations,people-occupations,,topik2-level5-vocab|topik-core,topik2-level5-vocab,topik-vocab,topik
kv0306,사랑,sa-rang,love,noun,1,feelings-emotions,feelings-emotions,,topik-core,topik-core,topik-extra,topik
kv0307,돌아오다,dol-a-o-da,to return / come back,verb,1,travel-movement,travel-movement,,topik-core,topik-core,topik-extra,topik
